Item Name,Item MRP,Quantity,Expiry Date,Discount Value,GST %,GST Value,Amount,Billing Date
OXRAMET XR 10/1000 TAB,418.6,4,"April, 2023",167.44,12,161.46,1506.96,02-Nov-21
PREGDOX-PLUS 10 S,80,1,"September, 2022",8,12,7.72,72,02-Nov-21
REPACE-AF TAB 10 SF,138,3,"May, 2023",41.4,12,39.92,372.6,02-Nov-21
TAMDURA CAP 10 SF,287,3,"April, 2023",86.1,12,83.02,774.9,02-Nov-21
VELOZ 20 TAB 15 s,155.4,2,"February, 2023",31.08,12,29.98,279.72,02-Nov-21
PYRIGESIC 650 TAB,20.61,0.4,"May, 2024",0.82,12,0.8,7.42,02-Nov-21
VOZET 5MG TAB 10 S,77.25,0.3,"May, 2023",2.32,12,2.24,20.86,02-Nov-21
VOMIKIND-MD 4MG 10 SF,40.44,0.2,"February, 2022",0.81,12,0.78,7.28,02-Nov-21
PREGNA CARE TAB 10 SF,117.5,1,"June, 2022",11.75,18,16.14,105.75,02-Nov-21
ZERODOL-SP TAB 10 SA,107.6,0.4,"February, 2023",4.3,12,4.16,38.74,02-Nov-21
PARASAFE-650 TAB 10 SBOX,20.61,0.9,"May, 2024",1.86,12,1.78,16.69,02-Nov-21
LANTUS CARTRIDGE 3ML,722.54,1,"February, 2024",72.25,5,30.96,650.29,02-Nov-21
NERVZ B CAP 10 SBM,193,1,"October, 2022",19.3,12,18.62,173.7,02-Nov-21
NOVOFINE NEEDLE 0.25X6MM,15.1,1,"July, 2025",0,12,1.62,15.1,02-Nov-21
VOLIX 0.3MG TAB 15 S,205,1,"October, 2023",20.5,12,19.76,184.5,02-Nov-21
ZERODOL-P TAB 10 SA,54.95,0.4,"February, 2023",2.2,12,2.12,19.78,02-Nov-21
SERADIC GEL 15 GM,99,1,"February, 2022",9.9,12,9.54,89.1,02-Nov-21
GLIMESTAR-PM 2 TAB 10 S,109.89,1,"February, 2022",10.99,12,10.6,98.9,02-Nov-21
ROSUVAS-10 TAB 15 SA,266,1,"January, 2023",26.6,12,25.66,239.4,02-Nov-21
GLYCOMET TRIO FORTE 2 TAB,192.5,1,"September, 2022",19.25,12,18.56,173.25,02-Nov-21
HEPA-MARZ TAB 10 SBOX,201,1,"June, 2023",20.1,12,19.38,180.9,02-Nov-21
FOLITRAX 5MG 10 S,88.09,1.2,"May, 2024",10.57,5,4.54,95.14,02-Nov-21
DAZIT-5 TAB,147,1.333,"January, 2023",19.6,12,18.9,176.4,02-Nov-21
ZYLORIC 100MG TAB 10 S,21.15,0.5,"February, 2024",0,12,1.14,10.58,02-Nov-21
LYCAM-P TAB,79,0.5,"September, 2022",0,12,4.24,39.5,02-Nov-21
PROTEKT CAP 10 S,50,0.5,"June, 2023",0,12,2.68,25,02-Nov-21
RABLET-D CAP 10 SF,169.5,1.5,"January, 2023",25.43,12,24.52,228.82,02-Nov-21
VIDAGLO 50 TAB,64.75,1,"February, 2022",6.48,12,6.24,58.27,02-Nov-21
GEMER V1 TAB,106.8,1,"August, 2023",10.68,12,10.3,96.12,02-Nov-21
ECOSPRIN-AV 75 CAP 15 S,55.16,1,"January, 2022",5.52,12,5.32,49.64,02-Nov-21
OMNACORTIL FORTE SYP 60ML,50.4,1,"August, 2023",5.04,12,4.86,45.36,02-Nov-21
BENADON 40 TAB 10 S,23.13,1,"March, 2024",2.31,12,2.24,20.82,02-Nov-21
TOPIROL-25mg 10 SBB,81,1,"February, 2023",8.1,12,7.82,72.9,02-Nov-21
ATORMAC CV 10 TAB 10 SF,184.8,2,"June, 2023",36.96,12,35.64,332.64,02-Nov-21
NEXITO-PLUS TAB 10 S,103,2,"July, 2023",20.6,12,19.86,185.4,02-Nov-21
SERLIFT-50MG TAB 10 SBN,95.16,3,"February, 2023",28.55,12,27.52,256.93,02-Nov-21
PRODEP 20MG CAP 10 SBA,40.86,3,"May, 2025",12.26,12,11.82,110.32,02-Nov-21
ITASPOR SB 50 TAB,184,0.5,"January, 2022",9.2,12,8.88,82.8,02-Nov-21
ZYDIP-C CREAM 20GM,120,1,"January, 2023",12,12,11.58,108,02-Nov-21
PENODEL TAB,50,0.6,"February, 2023",3,12,2.9,27,02-Nov-21
ANUF-250 TAB 10 S,118.4,0.6,"May, 2023",7.1,12,6.86,63.94,02-Nov-21
VELOZ 20 TAB 15 s,155.4,1,"April, 2023",15.54,12,14.98,139.86,02-Nov-21
MONTAIR-4 TAB,183,1,"March, 2024",18.3,12,17.64,164.7,02-Nov-21
SALBAIR TRANSHALER 250,184.8,1,"April, 2023",18.48,12,17.82,166.32,02-Nov-21
EVION-400MG CAP 10 S,32.7,1.5,"July, 2023",0,12,5.26,49.05,02-Nov-21
DIZIRON TAB,153,0.5,"January, 2023",0,12,8.2,76.5,02-Nov-21
STAMLO-BETA TAB 15 S,182,1,"April, 2023",18.2,12,17.56,163.8,02-Nov-21
GLIMISAVE M1 TAB 15,116.4,2,"April, 2024",23.28,12,22.44,209.52,02-Nov-21
CALCIUM LACTATE (BD) 25g.,28.5,1,,0,0,0,28.5,02-Nov-21
CILACAR T 80 TAB 10 S,168.07,1,"February, 2023",16.81,12,16.2,151.26,02-Nov-21
CILACAR T 80 TAB 10 S,184.79,2,"May, 2023",36.96,12,35.64,332.62,02-Nov-21
AZTOR-10 TAB 15 S,92.34,2,"March, 2024",18.47,12,17.8,166.21,02-Nov-21
FAMOCID 40MG TAB 14 S,8.75,2,"June, 2024",1.75,12,1.68,15.75,02-Nov-21
SOMPRAZ D 40 TAB,217,1,"July, 2023",21.7,12,20.92,195.3,02-Nov-21
METROGYL 400MG TAB 15 S,21.5,1,"May, 2025",2.15,12,2.08,19.35,02-Nov-21
SARTEL-80 TAB 15 SF,169.18,1,"March, 2024",16.92,12,16.32,152.26,02-Nov-21
RIOMET-DUO 2 TAB 15 S,182,3,"April, 2024",54.6,12,52.66,491.4,02-Nov-21
DOXT-SL CAP 10 SF,100,1.2,"May, 2023",12,12,11.58,108,02-Nov-21
TENIVA-M FORTE TAB,308,1,"April, 2023",30.8,12,29.7,277.2,02-Nov-21
CIDMUS 50MG TAB,1096.5,2,"February, 2024",328.95,12,199.72,1864.05,02-Nov-21
CARDIVAS IN 12.5 + 5 TAB,218,6,"October, 2022",130.8,12,126.12,1177.2,02-Nov-21
ECOSPRIN-AV 75/20 CAP 10 SF,35.76,3,"January, 2022",10.73,12,10.34,96.55,02-Nov-21
D-RISE 2000 TAB 10 SB,77.72,3,"April, 2023",23.32,12,22.48,209.84,02-Nov-21
ORS-L (LEMON) 200ML,37,2,"May, 2022",7.4,12,7.14,66.6,02-Nov-21
ASCORIL-D SYP 100ML,118,1,"June, 2023",11.8,12,11.38,106.2,02-Nov-21
AMBROLITE TAB 10 S,28.5,1,"May, 2022",2.85,12,2.74,25.65,02-Nov-21
O2 TAB 10 S,149.75,0.5,"May, 2024",7.49,12,7.22,67.39,02-Nov-21
NEUROBION PLUS TAB,104.3,1,"March, 2023",10.43,12,10.06,93.87,02-Nov-21
SHINE-10 TAB 20 SF,46.7,1,"August, 2024",4.67,12,4.5,42.03,02-Nov-21
MOMATE CREAM 5GM,177,1,"February, 2024",17.7,12,17.06,159.3,02-Nov-21
SUPRAGENT OINTMENT 15GM,35,1,"March, 2023",3.5,12,3.38,31.5,02-Nov-21
CEPODEM-100 TAB 10 S,174,1,"June, 2022",17.4,12,16.78,156.6,02-Nov-21
RAVIER-20 TAB,96.8,0.7,"February, 2023",6.78,12,6.54,60.98,02-Nov-21
HISTAFREE-M TAB 10 S,139.9,1,"September, 2022",13.99,12,13.5,125.91,02-Nov-21
PYRIGESIC 1000M TAB,31,1,"June, 2024",3.1,12,2.98,27.9,02-Nov-21
MOX CLAV 625MG 10 S,201.66,2.1,"April, 2023",42.35,12,40.84,381.14,02-Nov-21
KONDRO ACUTE TAB 10 S,271.4,1,"March, 2023",27.14,12,26.18,244.26,02-Nov-21
UREA-10 CREAM 20GM,65,1,"February, 2023",6.5,12,6.26,58.5,02-Nov-21
PRAZTAC-40 TAB,65.95,1,"May, 2023",6.6,12,6.36,59.35,02-Nov-21
STAMLO-BETA TAB 15 S,182,2,"April, 2023",36.4,12,35.1,327.6,02-Nov-21
GLUCORED FORTE 10 S,51.4,2,"April, 2024",10.28,12,9.92,92.52,02-Nov-21
MONTEY L TAB 10 S,74,2,"April, 2023",14.8,12,14.28,133.2,02-Nov-21
ROTAHALER 1 S,139.08,1,"May, 2026",5.56,12,14.3,133.52,02-Nov-21
MONTEK LC TAB 10 SA,179.5,1,"February, 2023",17.95,12,17.3,161.55,02-Nov-21
SMARTINOR TAB,99.55,1,"July, 2023",9.96,12,9.6,89.59,02-Nov-21
FLAVEDON-MR TAB 10 SBY,130.9,1,"May, 2024",13.09,12,12.62,117.81,02-Nov-21
POWERCORT-S 6% OINT. 30GM,140,1,"January, 2022",14,12,13.5,126,02-Nov-21
AMLOVAS 2.5MG TAB 15 S,27.86,2,"March, 2025",5.57,12,5.38,50.15,02-Nov-21
METROGYL-ER TAB 10 S,56.57,1,"June, 2023",5.66,12,5.46,50.91,02-Nov-21
CABERLIN 0.5 TAB,397.5,1,"April, 2022",39.75,12,38.34,357.75,02-Nov-21
D-RISE 60K CAP 4 SBOX,131.89,1,"April, 2023",13.19,12,12.72,118.7,02-Nov-21
SHELCAL 500mg TAB 15 S,108.7,1,"February, 2023",10.87,12,10.48,97.83,02-Nov-21
COMBUTOL 600MG 10 S,37.15,2,"March, 2024",0,5,3.54,74.3,02-Nov-21
RCINEX 450MG CAP 10 S,94.25,3,"February, 2022",0,12,30.3,282.75,02-Nov-21
SEBIFIN CREAM 30GM,215,1,"April, 2024",21.5,12,20.74,193.5,02-Nov-21
CANDIFORCE 200 TAB,157.5,1,"September, 2022",15.75,12,15.18,141.75,02-Nov-21
CANDIFORCE 200 TAB,153.47,1,"February, 2022",15.35,12,14.8,138.12,02-Nov-21
LECOPE 5MG TAB 10 SBW,24.68,1,"June, 2022",2.47,12,2.38,22.21,02-Nov-21
CILAPAM-H TAB 10 SBOX,149.51,1,"July, 2023",14.95,12,14.42,134.56,02-Nov-21
METLIN NT TAB,362.37,1,"May, 2023",36.24,12,34.94,326.13,02-Nov-21
DYTOR-PLUS 10 TAB 15 SB,81.19,1,"April, 2023",8.12,12,7.82,73.07,02-Nov-21
NEXOVAS-O 40 TAB,191,1,"February, 2022",19.1,12,18.42,171.9,02-Nov-21
ALVIROZ TRIO CAP 10 S,140,1,"April, 2023",14,12,13.5,126,02-Nov-21
PREXOL SR 0.75 TAB,208.73,1,"January, 2023",20.87,12,20.12,187.86,02-Nov-21
GALVUSMET 50/1000 TAB,318,1,"July, 2022",31.8,12,30.66,286.2,02-Nov-21
PROLOMET XL 25 TAB 10 S,45.24,1,"April, 2023",4.52,12,4.36,40.72,02-Nov-21
TIDOMET PLUS TAB 10 S,25.25,3,"April, 2028",7.58,12,7.3,68.17,02-Nov-21
TELSAR BETA 50 TAB,203.7,1,"July, 2022",20.37,12,19.64,183.33,02-Nov-21
TELMIKIND- 40 TAB 10 S,34.85,1,"June, 2023",3.49,12,3.36,31.36,03-Nov-21
METOSARTAN-50 TAB 10 SF,196,1,"June, 2023",19.6,12,18.9,176.4,03-Nov-21
SOMPRAZ 40 TAB 15 S,127,1,"June, 2024",12.7,12,12.24,114.3,03-Nov-21
CORDARONE 100MG TAB 10 S,63.77,2,"February, 2023",12.75,12,12.3,114.79,03-Nov-21
ECOSPRIN-AV 75/20 CAP 10 SF,35.76,1,"January, 2022",3.58,12,3.44,32.18,03-Nov-21
GP-1 TAB 10 S,40.1,1,"February, 2023",4.01,12,3.86,36.09,03-Nov-21
EUREPA V 1/0.3TAB,181.4,1,"June, 2024",18.14,12,17.5,163.26,03-Nov-21
ZYLORIC 100MG TAB 10 S,21.15,1,"February, 2024",2.12,12,2.04,19.03,03-Nov-21
LIPIROSE-10 TAB,92.92,1,"October, 2022",9.29,12,8.96,83.63,03-Nov-21
VIDAGLO M 50/500 TAB,75.75,2,"February, 2022",15.15,12,14.6,136.35,03-Nov-21
XILIA-MP 2 TAB 10 S,149.75,1,"March, 2023",14.98,12,14.44,134.77,03-Nov-21
AMLOVAS-H TAB 15 SA,101.5,2,"April, 2024",20.3,12,19.58,182.7,03-Nov-21
OMEZ- DSR CAP 15 S,177.5,1,"May, 2023",17.75,12,17.12,159.75,03-Nov-21
CLOPILET- A 75 CAP***,53.5,2,"April, 2023",10.7,12,10.32,96.3,03-Nov-21
REPACE-50 TAB 10 S,72,2,"May, 2024",14.4,12,13.88,129.6,03-Nov-21
K-COR 5MG TAB 20 S,330,1,"October, 2022",33,12,31.82,297,03-Nov-21
P-ZOLE DSR 10CAP,106.2,3,"July, 2024",31.86,12,30.72,286.74,03-Nov-21
RAMISTAR 2.5 MG TAB 15 S,82.81,2,"May, 2023",16.56,12,15.98,149.06,03-Nov-21
ATIVAN 2MG TAB,82.99,1,"May, 2023",8.3,12,8,74.69,03-Nov-21
ROSUVAS-10 TAB 15 SA,266,1,"January, 2023",26.6,12,25.66,239.4,03-Nov-21
CLOPILET- A 75 CAP***,53.5,1,"April, 2023",5.35,12,5.16,48.15,03-Nov-21
TRAJENTA 5 TAB 10 SA,515,1,"September, 2023",51.5,12,49.66,463.5,03-Nov-21
PRAZOPRESS XL 5 TAB 30 S,415,1,"March, 2023",41.5,12,40.02,373.5,03-Nov-21
AZULIX-2 TAB 10 SBW,63.5,2,"February, 2023",12.7,12,12.24,114.3,03-Nov-21
ADIRAB-DSR CAP,92,1,"February, 2022",0,12,9.86,92,03-Nov-21
ONASOLONE-4 TAB,60,1,"October, 2022",0,12,6.42,60,03-Nov-21
LEVERA-500MG TAB,198.07,4,"January, 2023",79.23,12,76.4,713.05,03-Nov-21
DONAMEM-5 TAB 10 SBOX,154,3,"February, 2023",46.2,12,44.56,415.8,03-Nov-21
NITROSUN 5MG TAB 10 SB,40.5,3,"July, 2023",12.15,12,11.72,109.35,03-Nov-21
QUTIPIN 25MG 10 S,58,3,"January, 2023",17.4,12,16.78,156.6,03-Nov-21
PROVIDAC CAP 14,361.75,2,"February, 2023",72.35,12,69.76,651.15,03-Nov-21
STORVAS 40MG TAB,216.59,2,"September, 2023",43.32,12,41.78,389.86,03-Nov-21
DEPLATT A 75 TAB,80.85,2,"September, 2022",16.17,12,15.6,145.53,03-Nov-21
NIKORAN-5MG TAB 20 S,332.15,2,"January, 2022",66.43,12,64.06,597.87,03-Nov-21
UREA-10 CREAM 20GM,65,1,"February, 2023",6.5,12,6.26,58.5,03-Nov-21
RANTAC MPS LIQ 170ML,101.08,1,"June, 2023",10.11,12,9.74,90.97,03-Nov-21
STAMLO-5 TAB 30 S,87.56,0.333,"May, 2024",2.92,12,2.82,26.27,03-Nov-21
ZOXAN EYE OINT. 5GM,12.24,1,"June, 2022",1.22,12,1.18,11.02,03-Nov-21
DISPOVAN SYRINGE 2ML,4.5,1,"February, 2025",0,0,0,4.5,03-Nov-21
CIFRAN CT TAB,132,0.6,"April, 2023",7.92,12,7.64,71.28,03-Nov-21
CURENZ TAB,210,2,"June, 2023",42,12,40.5,378,03-Nov-21
RABONIK- DSR CAP 15 S,181.18,1,"February, 2023",18.12,12,17.48,163.06,03-Nov-21
UGESIC-20 TAB 10 S,126,0.7,"May, 2023",8.82,12,8.5,79.38,03-Nov-21
ZANOCIN-OZ TAB 10 SBO,153,1,"May, 2023",15.3,12,14.76,137.7,03-Nov-21
SOMPRAZ 40 TAB 15 S,127,0.667,"June, 2024",8.47,12,8.16,76.2,03-Nov-21
SUMO L PLUS DS SYP 100ML,75,1,"February, 2022",7.5,12,7.24,67.5,03-Nov-21
GUT-PD CAP,95,1,"January, 2022",9.5,12,9.16,85.5,03-Nov-21
ACOGUT 300 ER TAB,350,1,"May, 2023",35,12,33.76,315,03-Nov-21
SOMPRAZ D 40 TAB,217,1,"July, 2023",21.7,12,20.92,195.3,03-Nov-21
FLOMIST NASAL SPRAY10ML,351.38,1,"January, 2023",35.14,12,33.88,316.24,03-Nov-21
ZOLSOMA-5 TAB 10 SBGBOX,72.5,2,"March, 2023",14.5,12,13.98,130.5,03-Nov-21
VIVAX 75MG TAB 10 S,62.94,2,"March, 2025",12.59,12,12.14,113.29,03-Nov-21
CITAPURE FORTE TAB 10 SBN,137.6,1,"January, 2024",13.76,12,13.26,123.84,03-Nov-21
HHMITE CREAM 30GM,58.12,1,"January, 2023",5.81,12,5.6,52.31,03-Nov-21
HHMITE SOAP 125GM,190,1,"April, 2023",7.6,18,27.82,182.4,03-Nov-21
CZ 3 TAB 10 SBW,18.31,0.6,"January, 2024",1.1,12,1.06,9.89,03-Nov-21
DUOMATE TRANSCAPS 20 S,113.25,1,"October, 2022",11.33,12,10.92,101.92,03-Nov-21
BILASURE-M TAB,172,1,"June, 2023",17.2,12,16.58,154.8,03-Nov-21
DERIPHYLLIN RTD 150 30 BW,30.58,1,"June, 2024",3.06,12,2.94,27.52,03-Nov-21
SARTEL-20 TAB 15 SF,61.15,1,"February, 2023",6.12,12,5.9,55.03,03-Nov-21
TRYPTOMER 25MG TAB 30 S,75.94,2,"March, 2024",15.19,12,14.64,136.69,03-Nov-21
DUZELA-20 CAP 10 SB,105,2,"February, 2023",21,12,20.26,189,03-Nov-21
NEXITO 5MG TAB 10 SBY,51.18,1,"May, 2023",5.12,12,4.94,46.06,03-Nov-21
SOMPRAZ 40 TAB 15 S,127,1,"August, 2024",12.7,12,12.24,114.3,03-Nov-21
PREGALIN M 75 CAP 15 SA,253.45,2,"March, 2023",50.69,12,48.88,456.21,03-Nov-21
PROXYM ER TAB 10 S,284.4,1,"October, 2023",28.44,12,27.42,255.96,03-Nov-21
OROFER XT TAB 10 S,156.9,1,"May, 2023",15.69,12,15.12,141.21,03-Nov-21
AZIFAST 500MG 3 S,71.33,1.667,"January, 2022",11.89,12,11.46,106.99,03-Nov-21
DOXT-SL CAP 10 SF,100,1,"May, 2023",10,12,9.64,90,03-Nov-21
FEBUNA -40 TAB,108,6,"July, 2022",0,12,69.42,648,03-Nov-21
ONASOLONE-4 TAB,60,3,"October, 2022",0,12,19.28,180,03-Nov-21
ELAXIC MR TAB,73.1,3,"July, 2022",0,12,23.5,219.3,03-Nov-21
EVION-400MG CAP 10 S,32.7,5,"July, 2023",0,12,17.52,163.5,03-Nov-21
EVION-600MG CAP 10 SBOX,47,1,"August, 2023",0,12,5.04,47,03-Nov-21
PROTEKT CAP 10 S,50,6,"June, 2023",0,12,32.14,300,03-Nov-21
ALL LIV 10 SYP 200ML,170,1,"February, 2022",17,18,23.34,153,03-Nov-21
ZINCOVIT TAB 15 S,105,0.4,"January, 2022",4.2,18,5.76,37.8,03-Nov-21
CHYMORAL-AP TAB 10 SN,132.85,1,"February, 2022",13.29,12,12.82,119.56,03-Nov-21
E-PRIME 1000 CAP,215,4,"March, 2022",0,18,131.18,860,03-Nov-21
PROTEKT CAP 10 S,50,6,"June, 2023",0,12,32.14,300,03-Nov-21
VOLITRA PLUS GEL 50GM,212,1,"March, 2023",0,12,22.72,212,03-Nov-21
O2 TAB 10 S,149.75,0.6,"May, 2024",0,12,9.62,89.85,03-Nov-21
COMBIFLAM TAB. 20 S,41.87,0.5,"June, 2023",2.09,12,2.02,18.85,03-Nov-21
AUGMENTIN-625 DUO TAB 10 S,201.71,1,"January, 2022",20.17,12,19.46,181.54,03-Nov-21
METROGYL 400MG TAB 15 S,21.5,1,"May, 2025",2.15,12,2.08,19.35,03-Nov-21
ACILOC 300 TAB 20 SF,45.6,0.25,"February, 2023",1.14,12,1.1,10.26,03-Nov-21
CADCIUM TAB 10 S,209,1,"August, 2022",20.9,12,20.16,188.1,03-Nov-21
HIFENAC-MR 10 SB,77.5,0.7,"July, 2023",5.43,12,5.24,48.82,03-Nov-21
BENTOZ 20 TAB 15 S,180,1,"January, 2022",18,18,24.72,162,03-Nov-21
GEMER V1 TAB,106.8,2,"January, 2023",21.36,12,20.6,192.24,03-Nov-21
NURTURE CHOCOLATE 175GM,343.8,1,"September, 2022",13.75,18,50.34,330.05,03-Nov-21
NOVIBEX-L SYP 200ML,118,1,"January, 2022",11.8,12,11.38,106.2,03-Nov-21
ZOFER MD 4mg TAB 10 S,52.61,0.2,"April, 2023",1.05,12,1.02,9.47,03-Nov-21
DROTIN DS TAB 15 S,185.5,0.667,"May, 2023",12.37,12,11.92,111.3,03-Nov-21
DORFREE MR 8 TAB,318.95,0.5,"January, 2022",0,12,17.08,159.48,03-Nov-21
P2 I- D CAP 10 S,132.3,1,"May, 2023",0,12,14.18,132.3,03-Nov-21
SYNOCID SYP (L) 170ML,90,1,"March, 2023",0,12,9.64,90,03-Nov-21
PYRIGESIC-A TAB 10 SBO,46,1,"February, 2023",4.6,12,4.44,41.4,03-Nov-21
ODEPRAZ-40 TAB,122,0.333,"August, 2022",4.07,12,3.92,36.6,03-Nov-21
MOXOVAS 0.3MG 10S,106,2,"May, 2023",21.2,12,20.44,190.8,03-Nov-21
PROLOMET XL 50 TAB 10 S,64.7,2,"May, 2023",12.94,12,12.48,116.46,03-Nov-21
CANDITRAL SB 50MG TAB,140,1,"April, 2023",14,12,13.5,126,03-Nov-21
GABAPIN NT TAB 15 S,428,1,"July, 2024",42.8,12,41.28,385.2,03-Nov-21
ZERODOL-SP TAB 10 SA,107.6,1,"February, 2023",10.76,12,10.38,96.84,03-Nov-21
HUMAN MIXTARD 40IU 10ML,158.42,1,"January, 2023",15.84,5,6.78,142.58,03-Nov-21
FIDONAL CREAM 30GM,300,1,"January, 2022",30,12,28.92,270,03-Nov-21
GLYCIPHAGE G2 TAB 10 S,102.09,3,"October, 2023",30.63,12,29.54,275.64,03-Nov-21
PROPYSALIC NF OINT 30GM,258,1,"February, 2023",25.8,12,24.88,232.2,03-Nov-21
CTD-6.25 TAB 15 S,85.1,2,"February, 2022",17.02,12,16.42,153.18,03-Nov-21
COMBITIDE 250 INHALER 1 S,665,1,"February, 2023",66.5,12,64.12,598.5,03-Nov-21
DUOLIN ROTACAPS 30 S,179.21,1,"April, 2023",17.92,12,17.28,161.29,03-Nov-21
OMEZ 20MG CAP 20 S,55.52,2,"April, 2024",11.1,12,10.7,99.94,03-Nov-21
NUPENTA-40 TAB 10 SA,50,2.5,"May, 2024",12.5,12,12.06,112.5,03-Nov-21
TELPRES 40 TAB,110.36,2,"October, 2022",22.07,12,21.28,198.65,03-Nov-21
MOOV OINT 15GM,65,1,,0,12,6.96,65,03-Nov-21
PARASAFE 1000 TAB 10 S,42.55,1,"February, 2023",4.26,12,4.1,38.29,03-Nov-21
ETOSHINE-MR TAB 10 S BOX,230,1,"March, 2023",23,12,22.18,207,03-Nov-21
FLUNARIN-5MG TAB 10 S,23.17,2,"April, 2024",0,12,4.96,46.34,03-Nov-21
QUTAN - 100 MG 1X10 S,100.5,2,"January, 2022",0,12,21.54,201,03-Nov-21
STALOPAM 10 MG TAB 10 SBP,88.26,2,"January, 2023",0,12,18.92,176.52,03-Nov-21
BUPRON SR 150 TAB 10 S,130.5,2,"February, 2023",0,12,27.96,261,03-Nov-21
LAXIT PLUS SYP 100ML,180,1,"February, 2022",0,12,19.28,180,03-Nov-21
ZOFER MD 4mg TAB 10 S,52.61,0.4,"April, 2023",0,12,2.26,21.04,03-Nov-21
ROSEDAY EZ TAB,231,0.8,"June, 2023",18.48,12,17.82,166.32,03-Nov-21
KENACORT-0.1%O/Paste 5GM,82.75,1,"June, 2022",8.28,12,7.98,74.47,03-Nov-21
RIBOFLAVINE TAB 10 S,11,12,"February, 2023",13.2,12,12.72,118.8,03-Nov-21
LUMIA 60K CAP,265.19,1,"March, 2023",26.52,12,25.58,238.67,03-Nov-21
CHYMORAL FORTE DS TAB 10 S,332.8,0.8,"April, 2022",26.62,12,25.68,239.62,03-Nov-21
ZINCOVIT TAB 15 S,105,1,"January, 2022",10.5,18,14.42,94.5,03-Nov-21
CHYMORAL-AP TAB 10 SN,120.85,1,"October, 2022",12.09,12,11.66,108.76,03-Nov-21
MONTEMAC - L TAB 10 SA,123,1,"May, 2024",12.3,12,11.86,110.7,03-Nov-21
DEXORANGE SYP 200ML,145,1,"January, 2022",14.5,12,13.98,130.5,04-Nov-21
PARASAFE-650 TAB 10 SBOX,20.61,1,"May, 2024",2.06,12,1.98,18.55,04-Nov-21
AMBROLITE-S LIQ 100ML,97,1,"January, 2022",9.7,12,9.36,87.3,04-Nov-21
CETZINE TAB,27.69,0.333,"July, 2024",0.92,12,0.9,8.31,04-Nov-21
AMLOSAFE TM 40 TAB,76,2,"May, 2023",15.2,12,14.66,136.8,04-Nov-21
GLYCIPHAGE SR 1GM 10 S,40.85,3,"June, 2023",12.26,12,11.82,110.29,04-Nov-21
GEPRIDE M4 FORTE,141.75,3,"February, 2023",42.53,12,41,382.72,04-Nov-21
SUPRA PLUS TAB,51,2,"October, 2022",10.2,18,14,91.8,04-Nov-21
DORSUN DROP 5ML,187,1,"February, 2023",18.7,12,18.04,168.3,04-Nov-21
DERIPHYLLIN TAB,17,0.2,"September, 2024",0.34,12,0.32,3.06,04-Nov-21
CORSYL SYP 100ML,76,1,"April, 2023",7.6,12,7.32,68.4,04-Nov-21
ZADUCLAV-625 TAB 10 S,201.7,0.6,"September, 2022",12.1,12,11.68,108.92,04-Nov-21
DOSYL CAP,182.5,1,"October, 2022",18.25,18,25.06,164.25,04-Nov-21
NUHENZ TAB,245,1,"January, 2023",24.5,12,23.62,220.5,04-Nov-21
PBREN NT TAB 10S,217,1,"March, 2023",21.7,12,20.92,195.3,04-Nov-21
GLIZID MR 30 TAB,77.7,1,"May, 2024",7.77,12,7.5,69.93,04-Nov-21
MIRTAZ- 7.5 MG TAB 10 SBY,85,1,"May, 2023",8.5,12,8.2,76.5,04-Nov-21
OLVANCE 20MG 10 S,113,1,"May, 2023",11.3,12,10.9,101.7,04-Nov-21
ROZAVEL 10MG 10 SA,177,1,"October, 2023",17.7,12,17.06,159.3,04-Nov-21
CERELAC(S-2) W/R VEG KHI 300G,245,1,,9.8,18,35.88,235.2,04-Nov-21
DIOVOL FORTE SYR(MINT)SF450ML,182,1,"May, 2024",18.2,12,17.56,163.8,04-Nov-21
NAN PRO (3) 500GM,630,1,,25.2,18,92.26,604.8,04-Nov-21
GARDENAL SYP 60ML,48.78,1,"February, 2022",4.88,12,4.7,43.9,04-Nov-21
BENADON 40 TAB 10 S,23.13,1,"March, 2024",2.31,12,2.24,20.82,04-Nov-21
ZITHROCIN-500 TAB,118.88,1.2,"February, 2022",14.27,12,13.76,128.39,04-Nov-21
RESPIRA SYP 100ML,25.5,1,"May, 2024",2.55,12,2.46,22.95,04-Nov-21
LYSICON-V SYP 200ML,144.21,1,"June, 2022",14.42,12,13.9,129.79,04-Nov-21
SERLIFT-25MG TABS 10 SBW,57.75,1,"February, 2023",5.78,12,5.56,51.97,04-Nov-21
ROSYCAP-5 TAB,61,2,"May, 2023",12.2,12,11.76,109.8,04-Nov-21
LUPITUSS SYP 100ML,130.7,1,"January, 2022",13.07,12,12.6,117.63,04-Nov-21
CETZINE TAB,27.69,0.267,"July, 2024",0.74,12,0.72,6.64,04-Nov-21
CANDIBIOTIC PLUS EAR DROP 5ML,81,1,"February, 2022",8.1,12,7.82,72.9,04-Nov-21
DROTIN TAB,97.75,1,"February, 2022",9.78,12,9.42,87.97,04-Nov-21
TENELIVIO MF 500 TAB 10 S,115.5,1,"April, 2023",11.55,12,11.14,103.95,04-Nov-21
HYNASAL DROP (DWD) 15ML,58,1,"February, 2023",5.8,12,5.6,52.2,04-Nov-21
TENLIMAC 20 TAB 10 S,75.5,2,"April, 2023",15.1,12,14.56,135.9,04-Nov-21
GLYCOMET-GP-4 FORTE TAB10 S,103.45,2,"May, 2023",20.69,12,19.96,186.21,04-Nov-21
